affinity	name	stars	class	race	attack	recovery	health	leader ability	defender skill	counter skill	slayer	bounty hunter	commander	warden	combat ability	evolve from	evolve into
dark	Karheln Guard	*	Attacker	Human	348	48	236	Dark Armor I: 110% HP for all Dark Heroes	Weaken	Unknown					Slice: Attack an enemy for 350% of ATK, ignoring armor		Karheln Sentry **
dark	Karheln Sentry	**	Attacker	Human	602	83	417	Dark Armor II: 120% HP for all Dark Heroes	Weaken	Dispel Poison					Expert Slice: Attack an enemy for 350% of ATK, ignoring armor	Karheln Guard *	Karheln Blade ***
dark	Karheln Blade	***	Attacker	Human	1004	136	681	Dark Armor III: 140% HP for all Dark Heroes	Weaken	Dispel Poison					Whirling Slash: Attack an enemy for 350% of ATK, ignoring armor	Karheln Sentry **	Karheln Destroyer ****
dark	Karheln Destroyer	****	Attacker	Human	1633	219	1098	Dark Armor IV: 160% HP for all Dark Heroes	Weaken	Dispel Poison					Tail Swipe: Attack an enemy for 450% of ATK, ignoring armor	Karheln Blade ***	
dark	Nightblood Servant	*	Healer	Human	130	106	218	Dark Blessing I: 210% REC for all Dark Heroes	Regen	Unknown					Siphon Blood: Heal for 300% of REC and Convert 3 Dark Gems into Heart Gems		Nightblood Medic **
dark	Nightblood Medic	**	Healer	Human	212	176	355	Dark Blessing II: 220% REC for all Dark Heroes	Regen	Dispel Poison					Leech Blood: Heal for 300% of REC and Convert 3 Dark Gems into Heart Gems	Nightblood Servant *	Nightblood Surgeon ***
dark	Nightblood Surgeon	***	Healer	Human	364	300	607	Dark Blessing III: 240% REC for all Dark Heroes	Regen	Dispel Poison					Drain Life: Heal for 300% of REC and Convert 3 Dark Gems into Heart Gems	Nightblood Medic **	
dark	Karheln Scout	**	Balanced	Human	338	113	562	Attacker Might II: 120% Damage for all Attacker Heroes	Dodge	Dispel Siphon					Flash Powder: Attack an enemy for 300% of ATK and Upgrade 1 Dark Gem		Karheln Ranger ***
dark	Karheln Ranger	***	Balanced	Human	578	192	964	Attacker Might III: 140% Damage for all Attacker Heroes	Dodge	Dispel Siphon					Flash Bang: Attack an enemy for 350% of ATK and Upgrade 1 Dark Gem	Karheln Scout **	
dark	Longnight Devotee	*	Mage	Corrupt	262	88	128	Dark Might I: 110% Damage for all Dark Heroes	Drain	Unknown					Haunt: Attack all enemies for 300% of ATK		Longnight Disciple **
dark	Longnight Disciple	**	Mage	Corrupt	423	141	178	Dark Might II: 120% Damage for all Dark Heroes	Drain	Dispel Armor					Scare: Attack all enemies for 300% of ATK	Longnight Devotee *	Longnight Prophet ***
dark	Longnight Prophet	***	Mage	Corrupt	718	239	304	Dark Might III: 140% Damage for all Dark Heroes	Drain	Dispel Armor					Frighten: Attack all enemies for 300% of ATK	Longnight Disciple **	
dark	Longnight Reject	**	Guardian	Spirit	115	149	749	Guardian Armor II: 120% HP for all Guardian Heroes	Armor	Dispel Weaken					Spectral Essence: Attack all enemies for 180% of HP		Longnight Forsaken ***
dark	Longnight Forsaken	***	Guardian	Spirit	200	255	1276	Guardian Armor III: 140% HP for all Guardian Heroes	Armor	Dispel Weaken					Spectral Power: Attack all enemies for 180% of HP	Longnight Reject **	
dark	Lunia Hatchling	***	Defender	Corrupt	412	136	1679	Defender Armor III: 140% HP for all Defender Heroes	Blind	Dispel Regen		2x			Poison Web: Reduce all enemy DEF by 40% for 3 turns and Attack an enemy for 260% of HP		Lunia Arachnid ****
dark	Lunia Arachnid	****	Defender	Corrupt	665	221	2730	Defender Armor IV: 160% HP for all Defender Heroes	Blind	Dispel Regen		3x			Venomous Web: Reduce all enemy DEF by 40% for 3 turns and Attack an enemy for 340% of HP	Lunia Hatchling ***	
dark	Star Kin Initiate	**	Attacker	Human	570	79	393	Human Might II: 120% Damage for all Human Heroes	Poison	Dispel Zombie					Longnight Kiss: Attack all enemies for 250% of ATK and Convert 4 Light Gems into Dark Gems		Star Kin Matron ***
dark	Star Kin Matron	***	Attacker	Human	958	130	655	Human Might III: 140% Damage for all Human Heroes	Poison	Dispel Zombie					Longnight Embrace: Attack all enemies for 300% of ATK and Convert 5 Light Gems into Dark Gems	Star Kin Initiate **	
dark	Lunia Spirit	***	Attacker	Spirit	1004	136	681	Dark Might III: 140% Damage for all Dark Heroes	Regen	Dispel Zombie					Lunic Touch: Attack an enemy for 350% of ATK and Convert 4 Light Gems into Dark Gems		Lunia Specter ****
dark	Lunia Specter	****	Attacker	Spirit	1631	219	1096	Dark Might IV: 160% Damage for all Dark Heroes	Regen	Dispel Zombie					Lunic Touch: Attack an enemy for 350% of ATK and Convert 4 Light Gems into Dark Gems	Lunia Spirit ***	
dark	Nightmare Crawler	****	Guardian	Creature	308	411	2053	Guardian Blessing IV: 160% REC for all Guardian Heroes	Poison	Dispel Weaken					Healing Ooze: Heal for 400% of REC and Team is immune to damage this turn		
dark	Longnight Phantom	****	Defender	Spirit	589	195	2442	Giant Armor IV: 160% HP for all Giant Heroes	Weaken	Dispel Poison					Scythe: Attack an enemy for 220% of HP and Defend 30% of all damage for 2 turns		Longnight Revenant *****
dark	Longnight Revenant	*****	Defender	Spirit	993	330	4131	Giant Armor V: 180% HP for all Giant Heroes	Weaken	Dispel Poison					Reap: Attack an enemy for 260% of HP and Defend 30% of all damage for 2 turns	Longnight Phantom ****	
dark	Nightstalker Pup	****	Warrior	Dragon	1236	104	2061	Warrior Might IV: 160% Damage for all Warrior Heroes	Armor	Dispel Siphon					Shadow Pounce: Attack all enemies for 400% of ATK, ignoring armor		Nightstalker *****
dark	Nightstalker	*****	Warrior	Dragon	2100	178	3502	Warrior Might V: 180% Damage for all Warrior Heroes	Armor	Dispel Siphon					Shadow Maul: Attack all enemies for 500% of ATK, ignoring armor	Nightstalker Pup ****	
dark	Karheln Thief	*	Balanced	Human	192	63	320	Balanced Might I: 110% Damage for all Balanced Heroes	Poison	Unknown					Toxic Blade: Attack all enemies for 200% of ATK for 2 turns		Karheln Scavenger **
dark	Karheln Scavenger	**	Balanced	Human	330	109	548	Balanced Might II: 120% Damage for all Balanced Heroes	Poison	Dispel Dodge					Poison Darts: Attack all enemies for 250% of ATK for 2 turns	Karheln Thief *	
dark	Starcaller Warrior	**	Warrior	Human	455	39	759	Warrior Armor II: 120% HP for all Warrior Heroes	Might	Dispel Dodge					Gouging Blades: Attack an enemy for 260% of HP and Slow for 2 turns		Starcaller Commando ***
dark	Starcaller Commando	***	Warrior	Human	770	67	1284	Warrior Armor III: 140% HP for all Warrior Heroes	Might	Dispel Dodge					Starcaller Slash: Attack an enemy for 260% of HP and Slow for 2 turns	Starcaller Warrior **	
dark	Ordric Dragonling	***	Warrior	Dragon	722	61	1204	Dark Armor III: 140% HP for all Dark Heroes	Poison	Dispel Drain					Dark Claw: Attack all enemies for 220% of HP		Ordric Dragon ****
dark	Ordric Dragon	****	Warrior	Dragon	1184	102	1973	Dark Armor IV: 160% HP for all Dark Heroes	Poison	Dispel Drain					Dark Breath: Attack all enemies for 240% of HP for 2 turns	Ordric Dragonling ***	Bloodwing *****
dark	Bloodwing	*****	Warrior	Dragon	1996	170	3326	Dark Armor V: 180% HP for all Dark Heroes	Poison	Dispel Drain					Death Wing: Attack all enemies for 260% of HP for 3 turns	Ordric Dragon ****	Bloodwing the Wretched ******
dark	Bloodwing the Wretched	******	Warrior	Dragon	2892	241	4820	Dark Armor VI: 200% HP for all Dark Heroes	Poison	Dispel Drain					Death Storm: Attack all enemies for 260% of HP for 5 turns	Bloodwing *****	
