number	affinity	name	stars	power level	class	race	evolve from number	evolve into number	leader ability	combat ability	defender skill	counter skill	Art
1	dark	Karhein Guard	*	2	Attacker	Human		2	Dark Armor I: 110% HP for all Dark Heroes	Slice: Attack an enemy for 350% of ATK, ignoring armor	Weaken	Unknown	
2	dark	Karheln Sentry	**	4	Attacker	Human	1	3	Dark Armor II: 120% HP for all Dark Heroes	Expert Slice: Attack an enemy for 350% of ATK, ignoring armor	Weaken	Cure Poison	
3	dark	Karheln Blade	***	6	Attacker	Human	2	4	Dark Armor III: 140% HP for all Dark Heroes	Whirling Slash: Attack an enemy for 350% of ATK, ignoring armor	Weaken	Cure Poison	
4	dark	Karheln Destroyer	****	9	Attacker	Human	3		Dark Armor IV: 160% HP for all Dark Heroes	Tail Swipe: Attack an enemy for 450% of ATK, ignoring armor	Weaken	Cure Poison	
5	dark	Nightblood Servant	*	2	Healer	Human		7	Dark Blessing I: 110% REC for all Dark Heroes	Siphon Blood: Heal for 300% of REC and Convert 3 Dark Gems into Heart Gems	Regen	Unknown	
6	dark	Nightblood Medic	**	4	Healer	Human	6	8	Dark Blessing II: 120% REC for all Dark Heroes	Leech Blood: Heal for 300% of REC and Convert 3 Dark Gems into Heart Gems	Regen	Cure Poison	
7	dark	Nightblood Surgeon	***	6	Healer	Human	7		Dark Blessing III: 140% REC for all Dark Heroes	Drain Life: Heal for 300% of REC and Convert 3 Dark Gems into Heart Gems	Regen	Cure Poison	
8	dark	Karheln Scout	**	4	Balanced	Human		10	Attacker Might II: 120% Damage for all Attacker Heroes	Flash Powder: Attack an enemy for 300% of ATK and Upgrade 1 Dark Gem	Dodge	Cure Siphon	
9	dark	Karheln Ranger	***	6	Balanced	Human	9		Attacker Might III: 140% Damage for all Attacker Heroes	Flash Bang: Attack an enemy for 350% of ATK and Upgrade 1 Dark Gem	Dodge	Cure Siphon	
10	dark	Longnight Devotee	*	2	Mage	Corrupt		12	Dark Might I: 110% Damage for all Dark Heroes	Haunt: Attack all enemies for 300% of ATK	Drain	Unknown	
11	dark	Longnight Disciple	**	4	Mage	Corrupt	11	13	Dark Might II: 120% Damage for all Dark Heroes	Scare: Attack all enemies for 300% of ATK	Drain	Dispel Armor	
12	dark	Longnight Prophet	***	6	Mage	Corrupt	12		Dark Might III: 140% Damage for all Dark Heroes	Frighten: Attack all enemies for 300% of ATK	Drain	Dispel Armor	
52	dark	Longnight Reject	**	4	Guardian	Spirit		15	Guardian Armor II: 120% HP for all Guardian Heroes	Spectral Essence: Attack all enemies for 180% of HP	Armor	Cure Weaken	
53	dark	Longnight Forsaken	***	6	Guardian	Spirit	14		Guardian Armor III: 140% HP for all Guardian Heroes	Spectral Power: Attack all enemies for 180% of HP	Armor	Cure Weaken	
54	dark	Lunar Hatchling	***	6	Defender	Corrupt		17	Defender Armor III: 140% HP for all Defender Heroes	Poison Web: Reduce all enemy DEF by 40% for 3 turns and Attack an enemy for 260% of HP	Blind	Dispel Regen	
55	dark	Lunar Arachnid	****	9	Defender	Corrupt	16		Defender Armor IV: 160% HP for all Defender Heroes	Venomous Web: Reduce all enemy DEF by 40% for 3 turns and Attack an enemy for 340% of HP	Blind	Dispel Regen	
71	dark	Star Kin Initiate	**	4	Attacker	Human		19	Human Might II: 120% Damage for all Human Heroes	Longnight Kiss: Attack all enemies for 250% of ATK and Convert 4 Light Gems into Dark Gems	Poison	Cure Zombie	
72	dark	Star Kin Matron	***	6	Attacker	Human	18		Human Might III: 140% Damage for all Human Heroes	Longnight Embrace: Attack all enemies for 300% of ATK and Convert 5 Light Gems into Dark Gems	Poison	Cure Zombie	
