number	affinity	name	stars	power level	class	race	evolve from number	evolve into number	leader ability	combat ability	defender skill	counter skill	Art
17	earth	Deepmoss Master Druid	***	6	Healer	Human			Earth Blessing III: 140% REC for all Earth Heroes	Minera's Blessing: Heal for 300% of REC and Convert 3 Earth Gems into Heart Gems	Regen	Cure Poison	
20	earth	Deepmoss Disciple	***	6	Mage	Corrupt			Earth Might III: 140% Damage for all Earth Heroes	Blossom: Attack all enemies for 400% of ATK	Drain	Dispel Armor	
21	earth	Ilodran Grizzly	***	6	Defender	Creature			Defender Armor III: 140% HP for all Defender Heroes	Startling Roar: Reduce all enemy DEF by 40% for 3 turns and Attack an enemy for 260% of HP	Blind	Dispel Regen	
308	earth	R'lyeh, The Beholder	*****	15	Balanced	Corrupt			Corrupt Blessing V: 180% REC for all Corrupt Heroes	Soul Corruption: Reduce all enemy DEF by 40% for 2 turns and Attack all enemies for 1400% of REC	Zombie	Dispel Might	
22	earth	Ilodran Grizzly Battler	****	9	Defender	Creature			Defender Armor IV: 160% HP for all Defender Heroes	Fearsome Roar: Reduce all enemy DEF by 40% for 3 turns and Attack an enemy for 340% of HP	Blind	Dispel Regen	
57	earth	Ancient Swampheart	***	6	Guardian	Spirit			Guardian Armor III: 140% HP for all Guardian Heroes	Thorns: Attack all enemies for 240% of HP	Armor	Cure Weaken	
309	earth	R'lyeh, Puppet Master	******	30	Balanced	Corrupt			Corrupt Blessing VI: 200% REC for all Corrupt Heroes	Puppet Master: Reduce all enemy DEF by 40% for 2 turns and Attack all enemies for 1600% of REC	Zombie	Dispel Might	
353	earth	Gourdicous, The Hungry	*****	15	Balanced	Creature			Creature Armor V: 180% HP for all Creature Heroes	Hunger For Vengeance: Attack an enemy for 400% of ATK for 2 turns	Siphon	Dispel Drain	
75	earth	Earthbound Protector	****	9	Defender	Giant			Giant Armor IV: 160% HP for all Giant Heroes	Rock Armor: Attack an enemy for 220% of HP and Defend 30% of all damage for 2 turns	Weaken	Cure Poison	
354	earth	Gourdicous, Revenge Demon	******	30	Balanced	Creature			Creature Armor VI: 200% HP for all Creature Heroes	Revenge Feast: Attack an enemy for 450% of ATK for 2 turns	Siphon	Dispel Drain	
78	earth	Deepmoss Songstress	***	6	Attacker	Corrupt			Human Might III: 140% Damage for all Human Heroes	Deepmoss Song: Attack all enemies for 300% of ATK and Convert 5 Fire Gems into Earth Gems	Poison	Cure Zombie	
