number	affinity	name	stars	power level	class	race	evolve from number	evolve into number	leader ability	combat ability	defender skill	counter skill	Art
365	fire	Firebrand Hannibal	*****	15	Balanced	Human			Balanced Armor V: 180% HP for all Balanced Heroes	Flaming Battle Axe: Attack all enemies for 260% of HP and Convert 3 Water Gems into Fire Gems	Armor	Cure Blind	
366	fire	Hannibal The Destroyer	******	30	Balanced	Human			Balanced Armor VI: 200% HP for all Balanced Heroes	Conqueror's Stampede: Attack all enemies for 300% of HP and Convert 3 Water Gems into Fire Gems	Armor	Cure Blind	
329	fire	Katrina The Scandalous	*****	15	Mage	Corrupt			Corrupt Might V: 180% Damage for all Corrupt Heroes	Curse of Flames: Attack all enemies for 250% of ATK and 800% of REC for 2 turns	Panic	Cure Panic	
332	fire	Spirit Of Vengeance	*****	15	Mage	Corrupt			Corrupt Might V: 180% Damage for all Corrupt Heroes	Dark Rider: Attack all enemies for 250% of ATK and 800% of REC for 2 turns	Panic	Cure Panic	
330	fire	Katrina, Mistres Of Flame	******	30	Mage	Corrupt			Corrupt Might VI: 200% Damage for all Corrupt Heroes	Curse of Spirit: Attack all enemies for 300% of ATK and 900% of REC for 2 turns	Panic	Cure Panic	
333	fire	Spirit Of Vengeance	******	30	Mage	Corrupt			Corrupt Might VI: 200% Damage for all Corrupt Heroes	Spirit of Vengeance: Attack all enemies for 300% of ATK and 900% of REC for 2 turns	Panic	Cure Panic	
299	fire	Hellfire Manticore	*****	15	Warrior	Creature			Creature Might V: 180% Damage for all Creature Heroes	Piercing Tail: Attack an enemy for 320% of HP for 2 turns	Weaken	Cure Blind	
300	fire	Fyrion the Ashen	******	30	Warrior	Creature			Creature Might VI: 200% Damage for all Creature Heroes	Mane of Flames: Attack an enemy for 380% of HP for 2 turns	Weaken	Cure Blind	
359	fire	Arthur Of The Round	*****	15	Attacker	Fable			Demigod Might V: 180% Damage for all Demigod Heroes	King's Blade: Attack an enemy for 650% of ATK, ignoring Armor	Judgement	Cure Poison	
360	fire	King Arthur	******	30	Attacker	Fable			Demigod Might VI: 200% Damage for all Demigod Heroes	Sword of the Stone: Attack an enemy for 750% of ATK, ignoring Armor	Judgement	Cure Poison	
344	fire	Korinth, The Molten	*****	15	Mage	God			Dragon Might V: 180% Damage for all Dragon Heroes	River of Magma: Reduce all enemy ATK by 35% for 2 turns and Attack an enemy for 650% of ATK	Blind	Dispel Absorb	
345	fire	Empyrean Korinth	******	30	Mage	God			Dragon Might VI: 200% Damage for all Dragon Heroes	Empyrean Flames: Reduce all enemy ATK by 40% for 2 turns and Attack an enemy for 750% of ATK	Blind	Dispel Absorb	
81	fire	Arkhend	*****	15	Warrior	Dragon			Fire Armor V: 180% HP for all Fire Heroes	Charred Flesh: Attack all enemies for 260% of HP for 3 turns	Poison	Dispel Drain	
386	fire	Generous Pixie	*****	15	Balanced	Spirit			Fire Armor V: 180% HP for all Fire Heroes	Pixie Glamour: Attack all enemies for 300% of ATK and 180% of HP for 2 turns	Drain	Dispel Thorns	
395	fire	Faust, The Necromancer	*****	15	Defender	Fable			Fire Armor V: 180% HP for all Fire Heroes	Mephisto's Hand: Attack all enemies for 240% of HP and Defend 35% of all damage for 2 turns	Weaken	Cure Traitor	
82	fire	Arkhend the Immortal	******	30	Warrior	Dragon			Fire Armor VI: 260% HP for all Fire Heroes	Immortal Flames: Attack all enemies for 260% of HP for 5 turns	Poison	Dispel Drain	
396	fire	Doctor Faust	******	30	Defender	Fable			Fire Armor VI: 260% HP for all Fire Heroes	Mephisto's Fire: Attack all enemies for 280% of HP and Defend 35% of all damage for 2 turns	Weaken	Cure Traitor	
387	fire	Spirit of Giving	******	30	Balanced	Spirit			Fire Armor VI: 260% HP for all Fire Heroes	Power of Giving: Attack all enemies for 350% of ATK and 220% of HP for 2 turns	Drain	Dispel Thorns	
253	fire	Yessa, the Absolver	*****	15	Healer	Human			Fire Blessing V: 180% REC for all Fire Heroes	Flames of Absolution: Attack all enemies for 1000% of REC and Convert 3 Fire Gems into Health Gems	Absorb	Cleanse II	
254	fire	Yessa, the Purifier	******	30	Healer	Human			Fire Blessing VI: 160% REC for all Fire Heroes	Cleansing Inferno: Attack all enemies for 1200% of REC and Convert 3 Fire Gems into Health Gems	Absorb	Cleanse III	
182	fire	Vulcan Fireshaper	*****	15	Attacker	God			Fire Might V: 180% damage for all Fire Heroes	Forge of Gods: Attack all Earth enemies for 500% of ATK and Attack an enemy for 500% of ATK	Judgement	Cure Zombie	
278	fire	Rei, Dragonkin	*****	15	Balanced	Legend			Fire Might V: 180% damage for all Fire Heroes	Cone of Hellfire: Attack all enemies for 500% of ATK	Might	Unknown	
279	fire	Rei and Quarl	******	30	Balanced	Legend			Fire Might VI: 200% damage for all Fire Heroes	Wrath of Quarl: Attack all enemies for 600% of ATK	Might	Unknown	
183	fire	Vulcan Flamebound	******	30	Attacker	God			Fire Might VI: 200% damage for all Fire Heroes	Urspark: Attack all Earth enemies for 600% of ATK and Attack an enemy for 600% of ATK	Judgement	Cure Zombie	
171	fire	Magma Golem	*****	15	Defender	Giant			Giant Armor V: 180% HP for all Giant Heroes	Armor of Dharmir: Attack an enemy for 260% of HP and Defend 30% of all damage for 2 turns	Weaken	Cure Poison	
208	fire	Arkenhold Troll	*****	15	Guardian	Giant			Giant Armor V: 180% HP for all Giant Heroes	Molten Spew: Attack an enemy for 280% of HP and Defend 40% of all damage for 2 turns	Armor	Cure Vessel	
209	fire	Grak Na'Gar	******	30	Guardian	Giant			Giant Armor VI: 200% HP for all Giant Heroes	Magma Drinker: Attack an enemy for 340% of HP and Defend 40% of all damage for 2 turns	Armor	Cure Vessel	
